Player,Position,Minutes,Goals,Assists,Total Shoot,Touches,Expected Goals (xG),Carries
Marcos André,FW,70,0,0,0,17,0,14
Mamadou Sylla,FW,20,0,0,1,5,0.1,2
Darwin Machís,LM,57,0,0,1,16,0,10
Raúl Moro,LM,33,0,0,2,25,0.1,15
Víctor Meseguer,CM,58,0,0,1,28,0,13
Selim Amallah,CM,32,0,0,1,15,0.1,8
Kike Pérez,CM,84,0,0,0,45,0,24
Amath,RM,6,0,0,0,4,0,3
Iván Sánchez,"RM,CM",90,0,0,0,37,0,20
Stanko Jurić,DM,70,0,0,0,38,0,19
Mario Martín,DM,20,0,0,1,17,0,10
Lucas Oliveira Rosa,LB,90,0,0,0,46,0,17
Enzo Boyomo,CB,90,0,0,1,64,0,31
Eray Cömert,CB,90,0,0,0,52,0,28
Luis Pérez,RB,90,0,0,0,46,0,25
Karl Jakob Hein,GK,90,0,0,0,47,0,29
Miguel,FW,81,0,0,2,22,0.1,14
Diego,FW,9,0,0,1,7,0,3
Seydouba Cissé,LM,81,0,0,0,45,0,18
Enric Franquesa,"LB,LM",9,1,0,1,6,0.2,3
Óscar Rodríguez Arnaiz,CM,86,0,1,1,43,0,23
Adrià Altimira,"RM,CM",4,0,0,0,1,0,1
Dani Raba,CM,61,0,0,2,27,0.9,11
Juan Cruz,"CM,LM",29,1,0,1,11,0,6
Darko Brašanac,RM,61,0,0,1,24,0.2,9
Renato Tapia,"RM,CM",29,0,0,0,21,0,6
Yvan Neyou,"DM,CM",90,0,1,0,42,0,19
Javi Hernández,"LB,CB",90,0,0,0,52,0,24
Sergi,CB,90,0,0,0,72,0,37
Aritz Arambarri,CB,90,0,0,0,41,0,20
Valentin Rosier,RB,90,0,0,0,52,0,19
Juan Soriano,GK,90,0,0,0,36,0,18
Oliver McBurnie,FW,90,0,1,3,36,0.2,19
Sandro Ramírez,LW,90,1,0,4,33,0.6,14
Marvin,RW,77,0,0,0,35,0,14
Benito Ramírez,LB,13,0,0,1,16,0,6
Alberto Moleiro,AM,65,0,0,0,22,0,12
Enzo Loiodice,AM,25,0,0,0,32,0,21
Kirian Rodríguez,DM,86,0,0,1,84,0,49
Manuel Fuster,DM,4,0,0,0,9,0,6
Javier Muñoz,DM,90,0,0,0,63,0,31
Álex Muñoz,LB,77,0,0,0,62,0,19
Jaime Mata,RW,13,0,0,0,7,0,2
Mika Màrmol,CB,90,0,0,0,85,0,43
Scott McKenna,CB,90,0,0,1,82,0,43
Álex Suárez,RB,64,0,0,0,46,0,20
Viti,RB,26,0,0,0,21,0,13
Jasper Cillessen,GK,90,0,0,0,44,0,19
Kiké,FW,76,0,0,0,17,0,6
Jon Guridi,AM,14,0,0,0,5,0,3
Stoichkov,FW,60,0,0,1,26,0,18
Carlos Martín,FW,30,0,0,0,9,0,3
Tomás Conechny,LM,60,0,0,2,22,0.1,14
Luka Romero,"LW,LM",30,0,0,0,8,0,6
Ander Guevara,CM,76,0,0,1,48,0.1,22
Carlos Benavídez,DM,14,0,0,0,6,0,3
Antonio Blanco,"CM,DM",90,0,0,1,51,0,23
Carlos Vicente,"RM,RW",87,0,0,0,42,0,22
Moussa Diarra,RW,3,0,0,0,1,0,0
Manu Sánchez,LB,90,0,0,0,57,0,14
Aleksandar Sedlar,CB,85,0,0,0,37,0,15
Abdel Abqar,CB,90,0,0,0,46,0,18
Nahuel Tenaglia,RB,90,0,0,0,51,0,17
Antonio Sivera,GK,90,0,0,0,32,0,10
Aitor Ruibal,FW,62,0,0,1,19,0,10
Ezequiel Ávila,FW,28,0,0,1,17,0.1,9
Juanmi,LW,62,0,0,2,22,0.4,11
Abde Ezzalzouli,LW,28,0,0,3,26,0.2,15
Pablo Fornals,RW,75,0,0,1,48,0.1,21
Rodri,RW,15,0,0,0,10,0,6
Nabil Fekir,AM,90,0,0,5,63,0.6,42
Marc Roca,DM,90,0,0,0,65,0,37
William Carvalho,DM,90,0,0,1,99,0,66
Ricardo Rodríguez,LB,45,0,0,0,43,0,23
Romain Perraud,LB,45,0,0,0,40,0,17
Diego Llorente,CB,90,0,0,0,69,0,33
Marc Bartra,CB,85,0,0,0,68,0,40
Natan,CB,5,0,0,1,6,0,3
Youssouf Sabaly,RB,90,0,0,0,63,0,25
Rui Silva,GK,90,0,0,0,37,0,24
Julián Álvarez,FW,80,0,0,1,20,0,12
Alexander Sørloth,FW,10,0,0,2,10,0,5
Antoine Griezmann,FW,80,1,1,1,28,0.1,9
Ángel Correa,FW,10,0,0,0,8,0,2
Samuel Lino,"CM,LB",67,0,0,2,50,0.1,25
Reinildo Mandava,LB,23,0,0,0,11,0,5
Pablo Barrios,CM,90,0,0,1,67,0,27
Rodrigo De Paul,CM,58,0,0,0,40,0,26
Koke,CM,32,1,0,1,25,0.7,10
Rodrigo Riquelme,LB,57,0,0,2,44,0.2,31
Conor Gallagher,CM,33,0,0,0,16,0,7
César Azpilicueta,CB,90,0,0,0,78,0,39
José María Giménez,CB,90,0,0,0,84,0,48
Robin Le Normand,CB,90,0,0,0,55,0,34
Marcos Llorente,RB,90,1,1,1,44,0,25
Jan Oblak,GK,90,0,0,0,22,0,10
Abel Ruiz,FW,58,0,0,3,24,0.3,15
Bojan Miovski,FW,32,0,0,2,10,0.1,8
Bryan Gil,LW,90,0,0,4,47,0.2,35
Viktor Tsyhankov,RW,67,0,0,0,47,0,30
Iker Almena,RW,23,0,0,0,23,0,21
Yangel Herrera,"LM,DM",90,0,0,1,60,0,43
Oriol Romeu,CM,58,0,0,1,41,0,28
Jhon Solis,"DM,CM",32,0,0,0,39,0,30
Iván Martín,RM,57,0,0,0,30,0,21
Portu,"AM,RM",33,0,0,0,14,0,7
Miguel Gutiérrez,LB,90,0,0,1,68,0,38
Daley Blind,CB,90,0,0,1,112,0,84
David López,CB,90,0,0,0,103,0,67
Arnau Martinez,RB,90,0,0,0,105,0,76
Paulo Gazzaniga,GK,90,0,0,0,20,0,15
Arnaut Danjuma,FW,58,0,0,1,14,0,7
Thierno Barry,FW,32,1,0,2,12,0.4,4
Gerard Moreno,FW,45,0,1,3,25,0.2,11
Ayoze Pérez,FW,45,0,0,1,14,0,9
Alex Baena,LM,71,0,0,4,44,0.5,22
Pape Gueye,CM,19,0,0,1,16,0,9
Daniel Parejo,CM,90,1,0,1,65,0.9,28
Santi Comesaña,"CM,LM",90,0,0,2,77,0.1,42
Yeremi Pino,RM,57,0,0,2,31,0.3,17
Nicolas Pépé,RM,33,0,0,1,14,0.1,9
Sergi Cardona,LB,90,1,1,3,58,1,23
Eric Bailly,CB,57,0,0,1,44,0.1,23
Logan Costa,CB,33,0,0,0,21,0,6
Raúl Albiol,CB,90,0,0,0,52,0,26
Kiko Femenía,RB,90,0,0,1,86,0,46
Diego Conde,GK,90,0,0,0,20,0,8
Borja Iglesias,FW,73,1,0,1,24,0.1,12
Anastasios Douvikas,FW,17,0,0,2,6,0.3,4
Jonathan Bamba,"LW,RW",90,0,0,3,53,0.2,34
Alfon,RW,69,0,0,3,23,0.5,17
Iago Aspas,AM,21,0,0,0,15,0,8
Sergio Carreira,LM,57,0,0,1,38,0,22
Hugo Álvarez,"LB,LM",33,0,0,0,27,0,20
Ilaix Moriba,CM,57,0,0,0,35,0,26
Fran Beltrán,"DM,CM",33,0,0,2,31,0.1,20
Damián Rodríguez,"CM,DM",90,0,0,0,82,0,47
Óscar Mingueza,"RM,RB",90,1,1,1,88,0,59
Javier Manquillo,CB,69,0,0,0,56,0,36
Williot Swedberg,LW,21,0,0,4,14,1.1,9
Carl Starfelt,CB,90,1,0,2,78,0.2,50
Jailson Siqueira,CB,90,0,0,1,84,0.1,56
Iván Villar,GK,90,0,0,0,35,0,14
Vedat Muriqi,FW,81,0,0,5,36,0.7,19
Abdón Prats,FW,9,0,0,1,1,0,0
Cyle Larin,LW,64,0,0,0,14,0,13
Takuma Asano,"LW,RW",26,0,0,1,7,0,4
Antonio Sánchez,RW,64,0,0,1,29,0,16
Dani Rodríguez,"RW,LM",26,0,0,0,19,0,13
Sergi Darder,LM,81,0,0,0,49,0,35
Marc Domenech,LW,9,0,0,1,3,0,2
Manu Morlanes,CM,72,0,0,0,52,0,30
Omar Mascarell,CM,18,0,0,1,10,0,7
Samu Costa,RM,90,0,0,0,60,0,42
Johan Mojica,LB,90,0,0,1,57,0,31
Antonio Raillo,CB,90,0,0,1,56,0,29
Martin Valjent,CB,90,0,0,0,63,0,34
Pablo Maffeo,RB,90,0,0,0,61,0,36
Leo Román,GK,90,0,0,0,30,0,16
Kelechi Iheanacho,FW,61,0,0,2,12,0.1,6
Isaac Romero,FW,29,0,0,1,9,0.1,4
Chidera Ejuke,LW,89,0,0,3,61,0.2,39
Lucien Agoume,LW,1,0,0,0,1,0,0
Dodi Lukebakio,RW,69,0,0,4,39,0.1,24
Jesús Navas,RW,21,0,0,0,7,0,7
Saúl Ñíguez,LM,88,0,0,2,47,0.1,26
Albert Sambi Lokonga,CM,62,0,0,0,57,0,29
Juanlu Sánchez,CM,28,0,0,0,9,0,3
Djibril Sow,RM,90,0,0,1,55,0.1,34
Adrià Pedrosa,LB,90,0,0,1,89,0,44
Nemanja Gudelj,CB,69,0,0,0,54,0,26
Marcão,CB,21,0,0,0,20,0,14
Loïc Bade,CB,90,0,0,1,78,0,39
Carmona,RB,90,0,0,1,56,0,25
Ørjan Nyland,GK,90,0,0,0,40,0,26
Isaac Palazón Camacho,FW,90,0,0,1,31,0.1,18
Sergio Camello,FW,63,0,0,0,23,0,12
Randy Nteka,FW,27,0,0,0,9,0,4
Álvaro García,LM,55,0,0,2,35,0.1,20
Adri Embarba,"RM,LM",35,0,0,2,21,0.1,5
Óscar Valentín,CM,67,0,0,0,26,0,10
Pep Chavarría,LM,23,0,0,0,18,0,12
Unai López,CM,55,1,0,1,24,0.1,13
Pathé Ciss,CM,35,0,0,0,16,0,7
Jorge de Frutos,RM,63,0,1,0,25,0,15
Gerard Gumbau,"CM,RM",27,0,0,1,6,0,2
Alfonso Espino,LB,90,0,0,1,52,0,16
Abdul Mumin,CB,90,0,0,0,50,0,18
Florian Lejeune,CB,90,0,0,0,40,0,18
Iván Balliu,RB,90,0,0,0,37,0,20
Cárdenas,GK,90,0,0,0,33,0,17
Robert Lewandowski,FW,90,0,0,1,30,0,9
Ferrán Torres,LW,45,0,0,2,17,0.1,9
Dani Olmo,AM,45,1,0,3,33,0.2,24
Lamine Yamal,RW,89,0,1,5,72,0.3,45
Pau Victor Delgado,RW,1,0,0,0,3,0,2
Raphinha,"LW,AM",90,0,1,3,54,0.3,25
Pedri,DM,89,1,0,2,78,0.3,38
Fermin López,DM,1,0,0,0,4,0,3
Marc Bernal,DM,90,0,0,2,69,0.1,33
Gerard Martín,LB,64,0,0,0,48,0,11
Alejandro Balde,LB,26,0,0,0,16,0,7
Iñigo Martínez,CB,90,0,0,1,56,0.1,28
Pau Cubarsí,CB,90,0,0,1,79,0.1,40
Jules Koundé,RB,90,0,0,2,92,0.1,30
Marc-André ter Stegen,GK,90,0,0,0,33,0,25
Mamadou Sylla,FW,61,0,0,0,10,0,4
Juanmi Latasa,FW,29,0,0,3,11,0.2,4
Raúl Moro,LW,80,0,0,2,51,0.2,33
Marcos André,LW,10,0,0,0,4,0,3
Amath,RW,61,0,0,2,24,0.2,16
Iván Sánchez,RW,29,0,0,0,19,0,14
Selim Amallah,LM,89,0,0,2,47,0.1,31
Chuky san jose,LM,1,0,0,0,1,0,0
Stanko Jurić,CM,90,0,0,0,72,0,38
Kike Pérez,RM,61,0,0,1,54,0.2,28
Víctor Meseguer,RM,29,0,0,1,20,0.1,6
Lucas Oliveira Rosa,LB,90,0,0,0,71,0,34
Enzo Boyomo,CB,90,0,0,1,90,0,56
Javi Sánchez,CB,90,0,0,0,87,0,45
Luis Pérez,RB,90,0,0,0,60,0,32
Karl Jakob Hein,GK,90,0,0,0,29,0,13
Miguel,FW,90,0,0,1,19,0,14
Enric Franquesa,LW,45,0,0,0,10,0,7
Óscar Rodríguez Arnaiz,"AM,LW,RW",45,0,0,2,25,0,17
Juan Cruz,RW,65,0,0,0,31,0,20
Roberto López,"RW,LW",25,0,0,1,14,0,7
Julián Chicco,AM,70,0,0,0,24,0,13
Munir El Haddadi,LW,20,0,0,0,10,0,5
Seydouba Cissé,DM,65,0,0,0,36,0,30
Darko Brašanac,DM,25,0,0,0,8,0,3
Yvan Neyou,DM,84,0,0,2,48,0,39
Renato Tapia,DM,6,0,0,0,5,0,3
Javi Hernández,LB,90,0,0,1,56,0.1,24
Sergi,CB,90,0,0,0,56,0,34
Jorge Sáenz,CB,90,0,0,0,68,0,46
Valentin Rosier,RB,90,0,0,0,41,0,14
Juan Soriano,GK,90,0,0,0,30,0,15
Gorka Guruzeta,FW,69,0,0,3,24,0.3,10
Mikel Vesga,DM,21,0,0,0,10,0,3
Álvaro djaló,LW,57,0,0,0,19,0,13
Nico Williams,LW,33,0,0,3,13,0.3,8
Iñaki Williams,RW,90,0,0,3,38,0.2,19
Oihan Sancet,AM,69,0,0,1,41,0.4,20
Unai Gómez,AM,21,0,0,2,9,0.1,5
Beñat Prados,DM,70,1,0,1,46,0,17
Javi Martón,FW,20,0,0,0,7,0,3
Mikel Jauregizar,DM,90,0,0,0,58,0,23
Adama Boiro,LB,78,0,0,0,43,0,17
Iñigo Lekue,LB,12,0,0,0,5,0,1
Yeray Álvarez,CB,90,0,0,0,68,0,23
Daniel Vivian,CB,90,0,0,0,85,0,44
Óscar de Marcos,RB,90,0,1,0,71,0,27
Julen Agirrezabala,GK,90,0,0,0,36,0,19
Rafa Mir,FW,58,0,0,0,21,0,5
Domingos André Ribeiro Almeida,FW,32,0,0,0,18,0,11
Hugo Duro,FW,88,0,0,0,24,0,11
Dani Gómez,FW,2,0,0,0,1,0,1
Luis Rioja,"LM,RM",90,0,0,0,41,0,17
Hugo Guillamón,CM,90,0,0,0,44,0,16
José Luis García Vayá,CM,81,0,0,0,69,0,35
Javier Guerra,CM,9,0,0,0,4,0,0
Diego López,RM,81,0,0,1,33,0.1,13
Martín Tejón,LM,9,0,0,0,2,0,1
Jesus Vazquez,LB,88,0,0,1,69,0,28
Thierry Correia,LB,2,0,0,0,5,0,2
Cristhian Mosquera,CB,90,0,0,0,70,0,50
César Tárrega,CB,90,0,0,0,67,0,44
Dimitri Foulquier,RB,90,0,0,0,63,0,22
Giorgi Mamardashvili,GK,90,0,0,0,42,0,24
Mikel Oyarzabal,FW,28,0,0,1,5,0.1,4
Sheraldo Becker,FW,65,0,0,0,16,0,9
Umar Sadiq,FW,25,0,0,1,11,0,5
Sergio Gómez,LM,80,0,1,0,40,0,9
Olasagasti,LM,10,0,0,0,6,0,2
Brais Méndez,CM,80,1,0,2,38,0.5,18
Pablo Marín,RM,10,0,0,0,10,0,2
Martín Zubimendi,"CM,CB",90,0,0,2,60,0.1,22
Takefusa Kubo,"RM,CM",90,0,0,1,48,0.2,28
Javi López,LB,90,0,0,1,47,0,15
Jon Pacheco,CB,45,0,0,0,27,0,20
Jon Martin,CB,45,0,0,2,22,0.1,15
Igor Zubeldia,CB,80,0,0,0,47,0,26
Beñat Turrientes,CM,10,0,0,0,18,0,8
Hamari Traoré,RB,90,0,0,0,60,0,17
Álex Remiro,GK,90,0,0,0,41,0,13
Asier Villalibre,FW,62,1,0,2,13,0.9,7
Kiké,FW,28,0,0,3,11,0.1,7
Abderrahman Rebbach,"LW,LM",69,0,0,0,24,0,13
Toni Martínez,FW,21,1,0,3,11,0.5,5
Carlos Vicente,"RM,RW",89,0,0,1,43,0,20
Antonio Blanco,RM,1,0,0,0,3,0,1
Jon Guridi,"CM,AM",90,0,0,1,51,0,27
Carlos Benavídez,DM,45,0,0,1,26,0,18
Stoichkov,"LM,FW",45,0,0,1,21,0,11
Ander Guevara,"CM,DM",90,0,0,0,52,0,28
Moussa Diarra,LB,62,0,0,0,27,0,13
Manu Sánchez,LB,28,0,0,0,24,0,8
Pica,CB,90,0,0,1,47,0.1,28
Abdel Abqar,CB,90,0,0,0,51,0,28
Hugo Novoa,RB,90,0,0,0,32,0,14
Antonio Sivera,GK,90,0,0,0,23,0,11
Alexander Sørloth,FW,72,0,0,4,19,0.5,8
Reinildo Mandava,LB,18,0,0,0,28,0,19
Julián Álvarez,FW,45,0,0,3,23,0.5,10
Antoine Griezmann,"FW,AM",45,0,0,0,29,0,19
Samuel Lino,CM,45,0,0,2,34,0.5,21
Pablo Barrios,CM,45,0,0,3,56,0.1,44
Koke,CM,90,0,0,3,102,0.2,59
Rodrigo De Paul,CM,61,0,0,0,57,0,40
Ángel Correa,"FW,AM",29,0,0,4,20,0.3,14
Rodrigo Riquelme,"LB,LM,WB",90,0,0,2,61,0.3,43
César Azpilicueta,"CB,RB",90,0,0,2,78,0.1,47
Axel Witsel,CB,90,0,0,0,80,0,53
Robin Le Normand,CB,90,0,0,1,62,0,36
Nahuel Molina,RB,45,0,0,1,41,0,18
Marcos Llorente,"RM,RB,WB",45,0,0,0,30,0,15
Jan Oblak,GK,90,0,0,0,27,0,12
Javi Puado,FW,90,0,0,2,33,0.4,17
Alejo Véliz,FW,63,0,0,1,27,0.1,9
Walid Cheddira,FW,27,0,0,1,8,0,8
Álvaro Aguado,CM,86,0,0,2,51,0.1,28
Jofre,LM,4,0,0,0,3,0,2
José Gragera,CM,65,0,0,0,31,0,12
Pol Lozano,CM,25,0,0,0,12,0,4
Alex Král,CM,90,0,0,1,40,0,14
Carlos Romero,LB,63,0,0,0,37,0,8
Brian Oliván,LB,27,0,0,0,18,0,5
Marash Kumbulla,CB,64,0,0,0,50,0,26
Sergi Gómez,CB,26,0,0,0,15,0,8
Fernando Calero,CB,90,0,0,0,59,0,28
Omar El Hilali,"CB,RB",90,0,0,0,40,0,17
Álvaro Tejero,"RB,RM",90,0,0,1,43,0,14
Joan García,GK,90,0,0,0,45,0,24
Bojan Miovski,FW,63,0,0,1,14,0,6
Cristhian Stuani,FW,27,1,0,1,6,0.9,3
Abel Ruiz,FW,73,1,0,3,33,0.5,25
Yaser Asprilla,"RM,FW",17,0,0,0,11,0,9
Bryan Gil,LM,80,1,0,2,37,0.3,24
Donny van de Beek,FW,10,0,1,0,5,0,3
Iván Martín,CM,90,0,0,0,73,0,48
Yangel Herrera,CM,63,0,1,0,56,0,28
Oriol Romeu,CM,27,0,0,0,26,0,18
Viktor Tsyhankov,RM,80,1,1,2,56,0.6,32
Portu,LM,10,0,0,0,1,0,0
Miguel Gutiérrez,LB,90,0,0,0,64,0,36
Daley Blind,CB,90,0,0,0,100,0,82
David López,CB,90,0,0,0,100,0,58
Alejandro Francés,RB,90,0,0,1,91,0,60
Paulo Gazzaniga,GK,90,0,0,0,27,0,18
Ante Budimir,FW,57,0,0,0,5,0,3
Raúl,FW,33,0,0,1,7,0,4
Bryan Zaragoza,LW,67,0,0,0,17,0,12
Iker Benito,LW,23,0,0,0,14,0,7
Jon Moncayola,RW,58,0,0,0,17,0,11
Rubén García,RW,32,0,0,0,25,0,11
Aimar Oroz,AM,58,0,0,0,22,0,16
Pablo Ibáñez,AM,32,0,0,0,22,0,11
Moi Gómez,DM,90,0,0,0,60,0,45
Lucas Torró,DM,84,0,0,0,42,0,25
Javi Martínez,DM,6,0,0,0,10,0,6
Juan Cruz Armada,LB,90,0,0,0,44,0,21
Jorge Herrando,CB,90,0,0,0,65,0,45
Catena,CB,90,0,0,0,49,0,30
Nacho Vidal,RB,90,0,0,0,42,0,18
Sergio Herrera,GK,90,0,0,0,50,0,29
Oliver McBurnie,FW,77,0,1,1,39,0.1,23
Jaime Mata,FW,13,0,0,0,6,0,4
Alberto Moleiro,LM,60,1,0,1,39,0.3,29
Benito Ramírez,LM,30,0,0,0,10,0,3
Kirian Rodríguez,CM,80,0,0,1,70,0,54
Manuel Fuster,CM,10,0,0,0,6,0,4
Javier Muñoz,CM,90,0,0,1,57,0,35
Sandro Ramírez,RM,77,0,0,2,37,0.3,28
Viti,RM,13,0,0,0,3,0,1
José Campaña,DM,80,0,0,0,66,0,48
Enzo Loiodice,DM,10,0,0,0,3,0,2
Mika Màrmol,LB,90,0,0,1,56,0,31
Scott McKenna,CB,90,0,0,0,45,0,25
Álex Suárez,CB,90,0,0,0,53,0,23
Marvin,RB,90,0,0,0,53,0,22
Jasper Cillessen,GK,90,0,0,0,44,0,30
Kylian Mbappé,"FW,LW",90,0,0,9,40,0.5,33
Vinicius Júnior,LW,85,1,0,5,37,1.1,28
Endrick,FW,5,0,0,2,3,0.2,2
Brahim Díaz,RW,45,0,0,0,28,0,23
Rodrygo,RW,45,0,0,1,29,0,20
Luka Modrić,AM,63,0,0,0,57,0,40
Arda Güler,AM,27,0,0,1,14,0.3,11
Aurélien Tchouaméni,DM,90,0,0,1,89,0.3,61
Federico Valverde,DM,90,0,0,2,71,0.2,42
Ferland Mendy,LB,45,0,0,0,35,0,16
Fran Garcia,LB,45,0,0,1,44,0,28
Antonio Rüdiger,CB,90,0,0,2,73,0.2,42
Éder Militão,CB,90,0,0,0,68,0,45
Lucas Vázquez,RB,75,0,0,0,61,0,36
Dani Carvajal,RB,15,0,0,0,21,0,12
Thibaut Courtois,GK,90,0,0,0,33,0,22
Robert Lewandowski,FW,72,1,1,6,25,1.2,12
Ferrán Torres,FW,18,1,1,1,6,0.2,3
Raphinha,LW,90,3,1,6,55,2.2,24
Lamine Yamal,RW,90,0,2,0,55,0,41
Pedri,LM,60,0,0,0,55,0,36
Fermin López,LM,30,0,0,1,19,0,12
Marc Casado,CM,60,0,0,0,65,0,42
Eric García,CM,30,0,0,0,21,0,10
Dani Olmo,RM,82,1,0,6,48,0.9,35
Pablo Torre,RM,8,0,0,0,3,0,2
Alejandro Balde,LB,90,0,0,0,50,0,33
Iñigo Martínez,CB,90,0,0,1,113,0.1,74
Pau Cubarsí,CB,60,0,1,1,80,0,43
Sergi Dominguez,CB,30,0,0,0,36,0,27
Jules Koundé,RB,90,1,0,1,66,0.1,33
Marc-André ter Stegen,GK,90,0,0,0,32,0,23
Marcos André,FW,55,0,0,0,14,0,6
Juanmi Latasa,FW,35,0,0,0,6,0,0
Raúl Moro,LM,87,0,0,3,27,0.4,9
Víctor Meseguer,LM,3,0,0,0,0,0,1
Selim Amallah,CM,56,0,0,0,15,0,9
Chuky san jose,"RM,CM",34,0,0,0,5,0,3
Kike Pérez,"CM,FW",87,0,0,1,30,0.1,7
Cenk Özkacar,FW,3,0,0,0,3,0,0
Iván Sánchez,RM,61,0,0,0,31,0,22
Mario Martín,CM,29,0,0,0,8,0,5
Stanko Jurić,"DM,CM",90,0,0,0,29,0,9
Lucas Oliveira Rosa,LB,90,0,0,0,34,0,14
Javi Sánchez,CB,90,0,0,0,44,0,14
Eray Cömert,CB,90,0,0,0,44,0,16
Luis Pérez,RB,90,0,0,0,35,0,17
Karl Jakob Hein,GK,90,0,0,0,39,0,18
Gorka Guruzeta,FW,63,0,0,1,24,0,16
Álvaro djaló,FW,27,0,0,0,11,0,6
Nico Williams,LW,90,0,0,0,42,0,27
Iñaki Williams,RW,70,0,0,0,42,0,26
Álex Berenguer,RW,20,0,0,0,21,0,15
Oihan Sancet,AM,80,0,0,1,56,0,36
Unai Gómez,AM,10,0,0,0,7,0,4
Beñat Prados,DM,63,0,0,0,56,0,37
Mikel Vesga,DM,27,0,0,0,24,0,16
Ander Herrera,DM,63,0,0,2,62,0.1,36
Mikel Jauregizar,DM,27,0,0,3,26,0.1,18
Yuri Berchiche,LB,90,0,0,1,76,0,49
Yeray Álvarez,CB,90,0,0,0,84,0,55
Daniel Vivian,CB,90,0,0,0,93,0,73
Iñigo Lekue,RB,90,0,0,0,77,0,41
Julen Agirrezabala,GK,90,0,0,0,26,0,15
Julián Álvarez,FW,69,0,0,1,21,0.1,7
Rodrigo Riquelme,WB,21,0,0,0,16,0,9
Conor Gallagher,AM,69,0,0,1,33,0.1,16
Rodrigo De Paul,"AM,CM",21,0,0,0,8,0,4
Antoine Griezmann,AM,83,0,0,1,55,0,25
Giuliano Simeone,AM,7,0,0,0,4,0,3
Koke,CM,87,0,0,0,62,0,32
Ángel Correa,AM,3,1,0,1,6,0.9,3
Pablo Barrios,CM,90,0,0,0,72,0,33
Samuel Lino,WB,69,0,0,2,48,0.1,34
Alexander Sørloth,FW,21,0,1,2,12,0.5,5
Marcos Llorente,WB,90,0,0,0,71,0,41
Reinildo Mandava,CB,90,0,0,0,75,0,42
José María Giménez,CB,90,0,0,1,85,0.1,51
Robin Le Normand,CB,90,0,0,0,72,0,50
Juan Musso,GK,90,0,0,0,30,0,13
Alejo Véliz,FW,90,1,0,3,33,0.4,10
Javi Puado,FW,70,0,0,1,24,0,11
Walid Cheddira,FW,20,0,1,0,8,0,2
Carlos Romero,"LM,LB",90,1,0,2,46,0.5,18
José Gragera,CM,45,0,0,0,18,0,5
Álvaro Aguado,CM,45,0,0,1,37,0,17
Alex Král,CM,90,0,0,2,47,0.2,17
Jofre,RM,64,0,1,0,20,0,7
Álvaro Tejero,RM,26,0,0,0,17,0,3
Brian Oliván,LB,45,0,0,0,24,0,9
Irvin Cardona,"LM,LB",45,0,0,1,20,0.5,9
Marash Kumbulla,CB,90,0,0,0,65,0,35
Fernando Calero,CB,89,0,0,0,67,0,34
Sergi Gómez,CB,1,0,0,0,1,0,0
Omar El Hilali,RB,90,0,0,0,50,0,22
Joan García,GK,90,0,0,0,43,0,31
Sergio Camello,FW,61,0,0,1,12,0.2,6
Iván Balliu,"RB,FW",29,0,0,0,17,0,5
Adri Embarba,FW,90,0,1,2,50,0.1,22
Álvaro García,LM,71,1,0,2,32,0.6,17
Randy Nteka,FW,19,0,0,1,7,0,2
Unai López,CM,72,0,0,1,63,0,28
Pathé Ciss,CM,18,0,0,0,17,0,11
Óscar Valentín,CM,90,0,0,0,51,0,25
Jorge de Frutos,RM,62,0,0,0,25,0,19
Isaac Palazón Camacho,"LM,RM",28,0,0,3,18,0.1,8
Alfonso Espino,LB,34,0,0,0,12,0,6
Pep Chavarría,LB,56,0,0,1,43,0,20
Abdul Mumin,CB,90,0,0,0,62,0,34
Florian Lejeune,CB,90,0,0,5,76,0.3,42
Andrei Ratiu,"RB,RM",90,0,0,1,43,0,21
Cárdenas,GK,90,0,0,0,30,0,17
Diego,"FW,LM",90,0,0,4,27,0.2,14
Munir El Haddadi,LW,45,0,0,0,5,0,4
Enric Franquesa,"LB,LM",45,0,0,0,32,0,13
Dani Raba,RW,45,0,0,0,22,0,11
Juan Cruz,RM,45,0,0,2,30,0,21
Óscar Rodríguez Arnaiz,"AM,CM",56,0,0,1,24,0,15
Seydouba Cissé,CM,34,0,0,0,36,0,25
Darko Brašanac,"CM,DM",90,0,0,1,50,0,17
Renato Tapia,DM,45,0,0,0,28,0,16
Yvan Neyou,DM,45,0,0,0,39,0,25
Javi Hernández,LB,66,0,0,1,43,0,26
Miguel,FW,24,0,0,0,7,0,3
Sergi,CB,90,0,0,0,87,0,52
Jorge Sáenz,CB,90,0,0,0,83,0,41
Adrià Altimira,RB,56,0,0,0,38,0,21
Valentin Rosier,RB,34,0,0,0,30,0,21
Juan Soriano,GK,90,0,0,0,33,0,17
Vedat Muriqi,FW,90,0,1,1,37,0,23
Marc Domenech,LW,61,0,0,1,25,0.1,11
Roberto Navarro,"LM,LW,RW",29,0,0,0,7,0,3
Takuma Asano,RW,71,0,0,4,29,0.4,14
Sergi Darder,"FW,LW",19,0,0,0,12,0,8
Dani Rodríguez,"AM,RM",83,1,0,2,40,0.3,26
Omar Mascarell,CM,7,0,0,0,6,0,3
Samu Costa,"DM,CM",90,0,0,0,66,0,34
Manu Morlanes,"DM,CM",83,0,0,1,46,0,24
Copete,CB,7,0,0,1,5,0.1,2
Toni Lato,LB,71,0,0,0,59,0,24
