Player,Position,Minutes,Goals,Assists,Total Shoot,Touches,Expected Goals (xG),Carries
Kike Salas,CB,8,0,0,0,16,0,9
Djibril Sow,"DM,AM",90,0,0,3,57,0.5,23
Lucien Agoume,DM,90,0,0,0,67,0,24
Adrià Pedrosa,LB,90,0,0,1,48,0,14
Nemanja Gudelj,"CB,DM",90,0,0,1,66,0,29
Tanguy Nianzou,CB,90,0,0,2,79,0.2,36
Carmona,RB,90,0,0,1,78,0,30
Ørjan Nyland,GK,90,0,0,0,51,0,27
Ante Budimir,FW,90,0,0,3,39,0.2,13
Aimar Oroz,LW,89,0,0,4,58,0.7,30
Raúl,LW,1,0,0,0,1,0,0
Rubén García,RW,77,0,0,3,51,0.2,27
Rubén Peña,RW,13,0,0,0,7,0,2
Moi Gómez,LM,59,0,0,0,51,0,23
Bryan Zaragoza,LM,31,0,0,2,27,0.1,16
Lucas Torró,CM,90,0,0,0,80,0,20
Iker Muñoz,RM,45,0,0,0,31,0,11
Jon Moncayola,RM,45,0,0,1,31,0.2,8
Abel,LB,59,0,0,0,51,0,15
Juan Cruz Armada,LB,31,0,0,0,27,0,8
Jorge Herrando,CB,90,0,0,1,48,0.1,17
Catena,CB,90,0,0,2,62,0.2,23
Jesús Areso,RB,90,0,0,0,58,0,22
Sergio Herrera,GK,90,0,0,0,25,0,10
Miguel,FW,87,0,0,2,21,0.1,14
Diego,FW,3,0,0,0,2,0,0
Enric Franquesa,LW,90,0,0,0,32,0,10
Juan Cruz,RW,62,1,0,1,29,0.4,12
Dani Raba,RW,28,0,0,1,16,0.1,9
Seydouba Cissé,AM,73,0,0,1,40,0,27
Julián Chicco,AM,17,0,0,0,12,0,5
Yvan Neyou,DM,90,0,0,1,50,0,18
Darko Brašanac,DM,87,0,0,1,40,0.2,11
Renato Tapia,DM,3,0,0,0,4,0,0
Javi Hernández,LB,90,0,1,2,51,0.1,19
Sergi,CB,90,0,0,0,42,0,19
Aritz Arambarri,CB,87,0,0,1,45,0,24
Roberto López,CB,3,0,0,0,2,0,1
Valentin Rosier,RB,90,0,0,0,55,0,20
Juan Soriano,GK,90,0,0,0,36,0,17
Hugo Duro,FW,90,1,0,4,19,1,8
Domingos André Ribeiro Almeida,FW,65,0,0,0,21,0,9
Dani Gómez,FW,25,0,0,0,11,0,4
Diego López,LM,65,0,1,0,25,0,14
Dimitri Foulquier,LM,25,0,0,0,15,0,6
Javier Guerra,CM,85,0,0,0,33,0,7
Hugo Guillamón,CM,5,0,0,0,9,0,2
José Luis García Vayá,CM,90,0,0,1,59,0,15
Rafa Mir,RM,76,0,0,1,25,0,8
David Otorbi,LM,14,0,0,0,6,0,3
Jesus Vazquez,LB,76,0,0,0,23,0,13
Martín Tejón,LB,14,0,0,0,9,0,3
Yarek Gasiorowski,CB,90,0,0,0,50,0,15
Cristhian Mosquera,CB,90,0,0,0,68,0,31
Thierry Correia,RB,90,0,0,0,53,0,20
Giorgi Mamardashvili,GK,90,0,0,0,40,0,21
Robert Lewandowski,FW,90,2,0,3,26,1.8,16
Ferrán Torres,LW,63,0,0,1,21,0.2,9
Pedri,"LM,AM",27,0,0,1,24,0,14
Lamine Yamal,RW,85,0,1,4,60,0.4,45
Pau Victor Delgado,LW,5,0,0,0,8,0,6
Raphinha,"AM,LW,RW",90,0,0,2,61,0.1,30
Marc Casado,"DM,RM",90,0,0,3,79,0.6,41
Marc Bernal,DM,70,0,0,0,59,0,35
Eric García,CM,20,0,0,0,15,0,5
Alejandro Balde,LB,63,0,0,1,50,0,35
Gerard Martín,LB,27,0,0,0,21,0,6
Iñigo Martínez,CB,90,0,0,1,90,0.1,58
Pau Cubarsí,CB,63,0,0,1,58,0,36
Andreas Christensen,CB,27,0,0,0,18,0,9
Jules Koundé,RB,90,0,0,0,82,0,47
Marc-André ter Stegen,GK,90,0,0,0,42,0,27
Mikel Oyarzabal,FW,82,0,0,2,25,0.2,13
Luka Sučić,FW,8,0,0,0,10,0,5
Sheraldo Becker,LW,90,0,0,2,35,0.1,21
Takefusa Kubo,RW,67,0,0,0,23,0,17
Sergio Gómez,RW,23,0,0,0,24,0,13
Beñat Turrientes,LM,67,0,0,1,35,0,13
Ander Barrenetxea,LM,23,0,0,0,19,0,14
Urko González,CM,45,0,0,0,20,0,12
Martín Zubimendi,CM,45,1,0,2,32,0.4,11
Brais Méndez,RM,90,0,0,2,62,0.1,33
Javi López,LB,90,0,0,1,66,0,28
Jon Pacheco,CB,90,0,0,0,60,0,27
Aritz Elustondo,CB,90,0,0,1,82,0.2,49
Hamari Traoré,RB,74,0,0,0,54,0,18
Jon Aramburu,RB,16,0,0,0,19,0,7
Álex Remiro,GK,90,0,0,0,37,0,21
Isaac Palazón Camacho,"FW,RW",90,0,0,2,34,0,20
Randy Nteka,FW,62,0,0,0,18,0,6
Sergio Camello,FW,28,1,0,1,8,0.2,4
Adri Embarba,LM,74,0,0,1,35,0,18
Pep Chavarría,LW,16,0,0,0,5,0,2
Óscar Valentín,CM,90,0,0,0,45,0,14
Unai López,CM,45,0,0,0,29,0,10
Gerard Gumbau,CM,45,0,0,1,16,0.2,5
Jorge de Frutos,RM,74,1,0,1,16,0.2,11
Pathé Ciss,CM,16,0,1,0,6,0,2
Alfonso Espino,LB,90,0,0,2,55,0,16
Abdul Mumin,CB,90,0,1,0,36,0,11
Florian Lejeune,CB,90,0,0,2,35,0.1,8
Andrei Ratiu,RB,79,0,0,2,32,0.4,11
Iván Balliu,RB,11,0,0,0,6,0,3
Cárdenas,GK,90,0,0,0,16,0,5
Vedat Muriqi,FW,90,1,0,3,37,0.4,11
Dani Rodríguez,LW,66,0,1,2,32,0.1,16
Antonio Sánchez,RW,24,0,0,3,10,0.4,3
Takuma Asano,"RW,LW",71,0,0,1,20,0,14
Cyle Larin,LW,19,0,0,0,14,0,6
Samu Costa,LM,90,0,0,2,56,0,28
Omar Mascarell,CM,89,0,0,0,51,0,26
Copete,CM,1,0,0,0,3,0,0
Sergi Darder,RM,71,0,0,0,34,0,18
Manu Morlanes,RM,19,0,0,0,14,0,8
Johan Mojica,LB,90,0,0,1,64,0,45
Antonio Raillo,CB,90,0,0,0,43,0,17
Martin Valjent,CB,90,0,0,0,29,0,8
Pablo Maffeo,RB,90,0,0,0,52,0,19
Dominik Greif,GK,90,0,0,0,19,0,9
Kylian Mbappé,FW,90,0,0,4,40,0.3,26
Vinicius Júnior,LW,87,0,1,2,55,0.1,41
Brahim Díaz,LW,3,0,0,0,5,0,5
Rodrygo,RW,90,1,0,3,77,0.2,50
Jude Bellingham,LM,87,0,0,0,82,0,57
Arda Güler,RM,3,0,0,0,5,0,3
Aurélien Tchouaméni,CM,62,0,0,0,63,0,42
Luka Modrić,CM,28,0,0,2,46,0,33
Federico Valverde,"RM,LM",90,0,0,0,88,0,54
Ferland Mendy,LB,89,0,0,0,81,0,46
Antonio Rüdiger,CB,90,0,0,1,83,0,50
Éder Militão,CB,90,0,0,1,67,0,51
Dani Carvajal,RB,86,0,0,0,68,0,36
Lucas Vázquez,RB,4,0,0,0,4,0,1
Thibaut Courtois,GK,90,0,0,0,29,0,17
Mamadou Sylla,FW,90,0,0,3,18,0.3,7
Raúl Moro,LW,90,1,0,1,46,0.1,32
Amath,RW,69,0,1,1,26,0,17
Iván Sánchez,RW,21,0,0,0,8,0,5
Selim Amallah,CM,68,0,0,2,34,0.2,16
Víctor Meseguer,CM,22,0,0,0,10,0,5
Eray Cömert,"CM,CB",81,0,0,3,38,0.2,16
David Torres,CB,9,0,0,0,4,0,0
Kike Pérez,CM,81,0,0,1,57,0,36
Chuky san jose,CM,9,0,0,0,5,0,4
Lucas Oliveira Rosa,LB,90,0,0,1,53,0,21
Enzo Boyomo,CB,90,0,0,0,61,0,41
Javi Sánchez,CB,61,0,0,0,47,0,27
Stanko Jurić,CM,29,0,0,0,22,0,10
Luis Pérez,RB,90,0,0,0,71,0,30
Karl Jakob Hein,GK,90,0,0,0,39,0,25
Javi Puado,FW,90,0,0,3,35,0.1,21
Alejo Véliz,FW,69,0,0,1,27,0,7
Antoniu,LM,21,0,0,1,7,0,5
Pol Lozano,CM,56,0,0,0,30,0,13
Alex Král,CM,34,0,0,1,26,0,12
José Gragera,CM,77,0,0,0,54,0,18
Álvaro Aguado,CM,13,0,0,1,16,0.1,9
Pere Milla,"LM,CM",56,0,0,0,23,0,9
Irvin Cardona,"FW,LM",34,0,0,1,9,0.1,2
Carlos Romero,LB,90,0,0,0,57,0,19
Leandro Cabrera,CB,90,0,0,0,96,0,48
Sergi Gómez,CB,90,0,0,1,77,0.3,26
Omar El Hilali,"RB,CB",90,0,0,0,61,0,26
Álvaro Tejero,"RM,RB",69,0,0,1,38,0,15
Jofre,RM,21,0,0,0,13,0,9
Joan García,GK,90,0,0,0,34,0,12
Arnaut Danjuma,FW,78,1,0,3,20,0.5,12
Ayoze Pérez,FW,12,0,0,0,9,0,5
Gerard Moreno,FW,70,0,0,2,35,0.1,24
Nicolas Pépé,FW,20,0,0,2,13,0.1,5
Alex Baena,LM,70,0,0,1,37,0,20
Pape Gueye,CM,20,0,0,0,22,0,8
Santi Comesaña,"CM,LM",90,0,0,0,46,0,21
Daniel Parejo,CM,89,0,0,0,65,0,22
Ramón Terrats,CM,1,0,0,0,4,0,3
Yeremi Pino,RM,70,0,0,1,27,0.1,15
Ilias Akhomach,RM,20,0,0,0,15,0,10
